Address,CaseNumber,CrimeAgainst,Neighborhood,OccurDate,OccurTime,OffenseCategory,OffenseType,OpenDataLat,OpenDataLon,ReportDate,OffenseCount
600 BLOCK OF NW 14TH AVE,21-64328,Property,Pearl,3/9/2021,2310,Burglary,Burglary,45.527535224,-122.685271628,3/10/2021,1
600 BLOCK OF NW 17TH AVE,21-6226,Property,Northwest,1/6/2021,2130,Motor Vehicle Theft,Motor Vehicle Theft,45.527480069,-122.688314198,1/7/2021,1
600 BLOCK OF NW 17TH AVE,21-27364,Property,Northwest,1/30/2021,1534,Larceny Offenses,Theft From Motor Vehicle,45.527480069,-122.688314198,1/30/2021,1
600 BLOCK OF NW 17TH AVE,21-902828,Property,Northwest,2/10/2021,2215,Larceny Offenses,All Other Larceny,45.527480069,-122.688314198,2/10/2021,1
600 BLOCK OF NW 23RD AVE,21-30540,Property,Northwest,2/3/2021,0021,Burglary,Burglary,45.527292332,-122.698580838,2/3/2021,1
600 BLOCK OF NW CULPEPPER TER,21-73839,Property,Hillside,3/19/2021,0800,Larceny Offenses,Theft From Motor Vehicle,45.527362089,-122.708392951,3/19/2021,1
600 BLOCK OF NW EVERETT ST,21-3129,Property,Old Town/Chinatown,1/1/2021,1300,Burglary,Burglary,45.525233643,-122.677013452,1/4/2021,1
600 BLOCK OF NW EVERETT ST,21-55225,Property,Old Town/Chinatown,2/21/2021,0000,Larceny Offenses,Theft From Building,45.525233643,-122.677013452,3/1/2021,1
600 BLOCK OF NW HOYT ST,21-5228,Property,Old Town/Chinatown,1/6/2021,0900,Larceny Offenses,Theft From Building,45.527374966,-122.677091660,1/6/2021,1
600 BLOCK OF NW HOYT ST,21-13090,Property,Old Town/Chinatown,1/14/2021,1800,Larceny Offenses,All Other Larceny,45.527374966,-122.677091660,1/14/2021,1
600 BLOCK OF NW HOYT ST,21-18823,Person,Old Town/Chinatown,1/21/2021,0427,Assault Offenses,Aggravated Assault,45.527374966,-122.677091660,1/21/2021,1
600 BLOCK OF NW HOYT ST,21-57355,Person,Old Town/Chinatown,3/3/2021,1254,Assault Offenses,Simple Assault,45.527374966,-122.677091660,3/3/2021,2
600 BLOCK OF NW HOYT ST,21-76531,Person,Old Town/Chinatown,3/22/2021,1050,Assault Offenses,Simple Assault,45.527374966,-122.677091660,3/22/2021,1
600 BLOCK OF NW IRVING ST,21-39502,Property,Old Town/Chinatown,2/12/2021,1047,Larceny Offenses,Theft From Building,45.528000216,-122.677107830,2/12/2021,1
600 BLOCK OF NW IRVING ST,21-56079,Person,Old Town/Chinatown,3/2/2021,1007,Assault Offenses,Aggravated Assault,45.528000216,-122.677107830,3/2/2021,1
600 BLOCK OF NW IRVING ST,21-61544,Property,Old Town/Chinatown,3/7/2021,1250,Larceny Offenses,All Other Larceny,45.528000216,-122.677107830,3/7/2021,1
600 BLOCK OF NW IRVING ST,21-900420,Property,Old Town/Chinatown,1/7/2021,0814,Larceny Offenses,All Other Larceny,45.528000216,-122.677107830,1/7/2021,1
600 BLOCK OF NW MACLEAY BLVD,21-40088,Person,Hillside,2/13/2021,0511,Assault Offenses,Intimidation,45.527469438,-122.712226444,2/13/2021,1
600 BLOCK OF NW NAITO PKWY,21-5663,Property,Old Town/Chinatown,1/5/2021,2200,Motor Vehicle Theft,Motor Vehicle Theft,45.527841953,-122.673003125,1/7/2021,1
600 BLOCK OF NW NAITO PKWY,21-29401,Person,Old Town/Chinatown,2/1/2021,2004,Assault Offenses,Simple Assault,45.527841953,-122.673003125,2/1/2021,1
600 BLOCK OF NW NAITO PKWY,21-905330,Property,Old Town/Chinatown,2/19/2021,2100,Larceny Offenses,All Other Larceny,45.527841953,-122.673003125,3/19/2021,1
600 BLOCK OF S GAINES ST,21-902134,Property,South Portland,1/29/2021,1410,Fraud Offenses,False Pretenses/Swindle/Confidence Game,45.496386264,-122.671378473,1/31/2021,1
600 BLOCK OF S IDAHO ST,21-904668,Property,South Portland,2/4/2021,0700,Counterfeiting/Forgery,Counterfeiting/Forgery,45.476579498,-122.672396089,3/10/2021,1
600 BLOCK OF S LOWELL ST,21-28453,Property,South Portland,1/31/2021,1923,Fraud Offenses,False Pretenses/Swindle/Confidence Game,45.493923564,-122.671463791,1/31/2021,1
600 BLOCK OF S LOWELL ST,21-43324,Property,South Portland,2/17/2021,0833,Larceny Offenses,All Other Larceny,45.493923564,-122.671463791,2/17/2021,1
600 BLOCK OF S LOWELL ST,21-48454,Property,South Portland,10/1/2020,1708,Larceny Offenses,Theft From Building,45.494011372,-122.671463247,2/22/2021,1
600 BLOCK OF S LOWELL ST,21-49667,Property,South Portland,2/23/2021,2130,Vandalism,Vandalism,45.493923564,-122.671463791,2/23/2021,1
600 BLOCK OF S LOWELL ST,21-62503,Society,South Portland,3/24/2021,1137,Animal Cruelty Offenses,Animal Cruelty,45.493923564,-122.671463791,3/24/2021,1
600 BLOCK OF S LOWELL ST,21-76940,Property,South Portland,3/22/2021,1804,Fraud Offenses,Credit Card/ATM Fraud,45.493923564,-122.671463791,3/22/2021,1
600 BLOCK OF S LOWELL ST,21-79424,Property,South Portland,2/19/2021,0930,Larceny Offenses,All Other Larceny,45.493923564,-122.671463791,3/25/2021,1
600 BLOCK OF S NEVADA ST,21-901446,Property,South Portland,1/21/2021,0331,Burglary,Burglary,45.472917063,-122.672084497,1/21/2021,1
600 BLOCK OF S PALATINE HILL RD,21-680204,Property,Collins View,1/25/2021,0018,Vandalism,Vandalism,45.450652266,-122.672496836,1/26/2021,1
